,deltaC,J,semJ
0,0.353421954014311,4.3271895332637945e-10,5.307594279842323e-10
1,0.35998367729475633,4.406005610965784e-11,6.034850481320299e-10
2,0.3653011634989508,2.347608452472205e-10,1.490484501909679e-10
3,0.37134041802887513,1.4634705797348595e-10,6.962539296925351e-10
4,0.3776150292745841,1.39387436843178e-10,3.29395543798394e-10
5,0.38272162914778735,1.6427590445342137e-10,6.346470661352076e-10
6,0.38939830602972164,5.088216004243596e-10,3.2737990943235193e-10
7,0.3959209564112335,3.390810723565382e-10,6.368653067907146e-10
8,0.40168512598069445,3.266027530192165e-11,4.4667263963505127e-10
9,0.4076316457040348,2.2793711449421218e-10,1.3651270025256676e-10
10,0.41393765452463716,1.2899113850304848e-10,4.716558028474547e-10
11,0.4199527133394759,2.6426685580944515e-10,1.9364889743929696e-10
12,0.4254028093373244,4.495506999674803e-11,4.08513122989759e-10
13,0.43207469614607275,3.2521890742302255e-10,2.7757753924128274e-10
14,0.4380871540195945,3.772077739567657e-10,4.800865610362618e-10
15,0.4439256699968739,1.2265749709623633e-10,2.4873607759915255e-10
16,0.4501459397719253,3.8702244373487844e-10,4.720490027613019e-10
17,0.456105114287995,4.189279332692008e-10,4.896498563683124e-10
18,0.46201699716809186,4.584120786760982e-10,1.266403193023281e-10
19,0.468300788910177,4.895888424327093e-10,4.701759838998075e-10
20,0.4741266993144467,4.446580831116362e-10,1.1388798388738836e-10
21,0.48068494801650874,3.762765896781421e-10,4.1430004953962733e-10
22,0.48626112228002394,3.723640458127972e-10,1.0064225628542368e-10
23,0.4925171667116217,4.671822180220663e-10,4.217150135561066e-10
24,0.4984986807170635,4.921192986924529e-10,1.0334127386228275e-10
25,0.5046576557048633,5.606076313087834e-10,4.349890396039689e-10
26,0.51068010601386,5.527274487296377e-10,2.4529794984451635e-10
27,0.5167444731110191,6.000570153476816e-10,2.8577095979572245e-10
28,0.5227705333535133,5.525401127823084e-10,1.6275900652821727e-10
29,0.5287877775966181,6.30140496146108e-10,2.9073601633775816e-10
30,0.5348588470228954,6.308882065068057e-10,1.8760649539583732e-10
31,0.5408860562012259,6.6761457282672e-10,3.0322960122842755e-10
32,0.5470100264696593,7.277595934298642e-10,2.2263780867661567e-10
33,0.5529955543225971,7.155151948547774e-10,3.1507808466702047e-10
34,0.5591787523632623,7.589440244495401e-10,2.256805063123934e-10
35,0.5650744169470888,7.351939711121215e-10,2.930708625683272e-10
36,0.5712546408591741,6.945300693316883e-10,1.7652847403001918e-10
37,0.5772545959063782,7.526836488898504e-10,2.870773677538739e-10
38,0.5835085795963783,7.808568712339667e-10,1.0898248511203685e-10
39,0.589340700153979,7.553582968734679e-10,2.827768348110086e-10
40,0.59552874902124,7.876340162873468e-10,1.0302482543449291e-10
41,0.6015668882991505,8.252526718127071e-10,3.02244803623887e-10
42,0.6076173381935084,8.375585743344791e-10,2.735622714795046e-10
43,0.6135583245275583,8.612138767634618e-10,2.0539237596474714e-10
44,0.619795831074331,8.989805435589222e-10,3.383713158955129e-10
45,0.6257611799114176,9.947745858740585e-10,2.3270105032061684e-10
46,0.631865452560552,9.801764069925112e-10,3.859662257500236e-10
47,0.6378221544138221,9.75405354546737e-10,2.6577265435619483e-10
48,0.6438412051698168,9.871267520486088e-10,4.479929514935754e-10
49,0.6499691427175167,1.0375004497410008e-09,4.552205758696613e-10
50,0.6560987262656868,1.054752006106066e-09,1.8125470441352095e-10
51,0.6619753494418797,1.0651854011309589e-09,4.546067768697809e-10
52,0.6682527474949982,1.166222850608947e-09,4.528963759140305e-10
53,0.674093916567809,1.2008109049055694e-09,2.1969613217008564e-10
54,0.6803945736435291,1.2323617732894703e-09,4.695615686768292e-10
55,0.6863202732021866,1.2265397783719305e-09,4.4700162663752356e-10
56,0.6924636765655503,1.2114600100168235e-09,3.166922739334437e-10
57,0.6983354573229696,1.2490616725009337e-09,4.4296604983432224e-10
58,0.7045562034638772,1.3201435043760994e-09,4.944058797172872e-10
59,0.7106913229257316,1.4017178328371237e-09,2.892285647945329e-10
60,0.7166747885315627,1.4636324543157222e-09,4.86290230003101e-10
61,0.7227847390591104,1.4633071300640933e-09,4.922327841522731e-10
62,0.7288041021501112,1.4430771939393993e-09,3.5370860285735173e-10
63,0.7347788962127193,1.4790170524949581e-09,5.267802859240979e-10
64,0.7408484534851785,1.5658476382127793e-09,4.896701015028806e-10
65,0.7468958951028282,1.6495493583715246e-09,4.950058152136941e-10
66,0.7530640731585725,1.6111976872034002e-09,4.818379136260633e-10
67,0.7591030031804125,1.6487728242349919e-09,2.9312505915085657e-10
68,0.7651423945164867,1.6946711152199016e-09,6.173972690764072e-10
69,0.7712151809898772,1.7765459090219532e-09,6.332232452282664e-10
70,0.7772550706372252,1.8650094182122748e-09,5.764673921735723e-10
71,0.7833294603992232,1.8984081996490497e-09,6.354516878925643e-10
72,0.7891454628364168,1.8751769355338378e-09,7.174603743954895e-10
73,0.7955296070051757,1.912246370646401e-09,8.825196584971908e-10
74,0.8013482041119484,1.999219195964194e-09,7.754861432018854e-10
75,0.8074690525581771,2.0398176282626516e-09,7.1365052871079e-10
76,0.8136324671542885,2.0498673317668458e-09,7.305644753342912e-10
77,0.82004573832591,2.14203295295842e-09,8.29260550566039e-10
78,0.8257812235365892,2.2313746980918033e-09,7.70104473480951e-10
79,0.8321944974908794,2.26447898637857e-09,8.912118629934506e-10
80,0.8379931423066416,1.2915264194879359e-09,6.919550177151092e-10
81,0.8437532548561195,2.115669294151688e-09,7.557464070964847e-10
82,0.850571750360656,2.023042639342258e-09,6.278581139064297e-10
83,0.8557680653255922,2.5502971955108173e-09,7.515253320604676e-10
84,0.8620844623006745,1.811600901213465e-09,6.939969289301103e-10
85,0.8684595326011231,2.618633908630898e-09,1.4143192743536592e-09
86,0.8743920068925328,3.277764900180527e-09,1.3979176386160901e-09
87,0.8804733812716028,3.036320576414678e-09,1.338517717151314e-09
88,0.8860435772338888,2.559014953658525e-09,1.0653305071513571e-09
89,0.8926154632414132,2.5853429719897928e-09,6.969886441118658e-10
90,0.8981728531668962,2.4070618274649733e-09,9.063356489587518e-10
91,0.9039465282957,1.791745606960906e-09,1.2991303911114891e-09
92,0.9108364222705614,1.8022492189442302e-09,1.631876286157058e-09
93,0.916900171184754,2.2985669251721802e-09,1.6292586847751004e-09
94,0.9214240877432377,4.771373593152118e-10,5.474623604200774e-10
95,0.9291546875996397,1.7453481636405022e-09,4.0691917364664765e-10
96,0.9344027236355189,2.8040211243465657e-09,6.382690163697958e-10
97,0.9414379370082377,2.813622538694189e-09,6.926759739271175e-10
98,0.9467274763028852,1.8388579878746745e-09,6.092168130608744e-10
