,dJ
0,1.1260074494821168e-10
1,1.0628614510775759e-10
2,1.136826368833056e-10
3,1.2646767615391826e-10
4,1.2825944836585565e-10
5,1.3176531647576917e-10
6,1.43260950541177e-10
7,1.39327842176079e-10
8,1.5283916272773461e-10
9,1.886529906603737e-10
10,2.1434411985446487e-10
11,2.1558398710474542e-10
12,2.1144628625168931e-10
13,2.289404202815711e-10
14,2.335907334382403e-10
15,2.1126650921951e-10
16,2.0675453012497277e-10
17,2.1181156762780428e-10
18,2.0656038568370233e-10
19,2.067916391579679e-10
20,2.194061803960573e-10
21,2.2055814943206104e-10
22,2.0593715442003602e-10
23,2.0111603874856296e-10
24,2.051761516744542e-10
25,2.0329414643954882e-10
26,2.051249698697805e-10
27,2.044252166611298e-10
28,1.9811460362769164e-10
29,1.892126239773316e-10
30,1.8291342257138242e-10
31,1.8429914851775688e-10
32,1.7232608556454e-10
33,1.512449357398243e-10
34,1.421757258473263e-10
35,1.43808848157395e-10
36,1.4236809769774585e-10
37,1.3305281392550345e-10
38,1.209995453123668e-10
39,1.0883007736667618e-10
40,9.943182775176137e-11
41,9.892245836805817e-11
42,1.0309183519017286e-10
43,1.0016438740191886e-10
44,8.636746302365765e-11
45,7.642417208934387e-11
46,8.07537643432288e-11
47,9.616455797078725e-11
48,1.0910053576993141e-10
49,1.1313116311039308e-10
50,1.1006239263157713e-10
51,1.1327987046971005e-10
52,1.2621740355115834e-10
53,1.2932730374418897e-10
54,1.2689762705839172e-10
55,1.2189118643566986e-10
56,1.0921166427599937e-10
57,9.28271973817489e-11
58,7.768108030224284e-11
59,7.338066357740028e-11
60,5.826242042339528e-11
61,3.7550108296631646e-11
62,3.8633375834336284e-11
63,3.960581524511771e-11
64,3.961767957858448e-11
65,4.708512546701086e-11
66,5.368524997012739e-11
67,5.7882885091307236e-11
68,5.6500097446159674e-11
69,6.277897985678657e-11
70,6.850198815428367e-11
71,5.747057361539787e-11
72,4.846808508842932e-11
73,4.0631128846513553e-11
74,2.5612447795470437e-11
75,1.7113955364314015e-11
76,1.6520196028580895e-11
77,1.5130177949815175e-11
78,1.4736400097458402e-11
79,1.5186820450701067e-11
80,1.5397745140153712e-11
81,1.6082651099839843e-11
82,1.864823265291392e-11
83,2.4449667688558582e-11
84,2.6944206261155677e-11
85,2.6321621928160642e-11
86,2.7297341213646052e-11
87,1.9514802307643397e-11
88,1.3134755106630944e-11
89,2.0238873380784208e-11
90,3.050231128599702e-11
91,3.0466871719736736e-11
92,2.6371000872966808e-11
93,2.486170742936856e-11
94,2.0444742735146113e-11
95,1.805814347853459e-11
96,2.9389199899080855e-11
97,4.4577600801305085e-11
98,3.885128163004443e-11
99,2.1191481937682975e-11
100,1.4998848293730395e-11
101,1.5355235742078625e-11
102,1.4098552492720497e-11
103,1.583744105389902e-11
104,1.3222455793237007e-11
105,5.536599874191325e-12
106,2.905500271460924e-11
107,3.161014469473973e-11
108,2.2151733280402706e-11
109,1.9868924111637308e-11
110,1.8979349021506826e-11
111,1.7153883644723426e-11
112,2.1267384519919576e-11
113,2.4568131657901344e-11
114,1.3763365182718986e-11
115,2.4557856828646345e-12
116,3.0816717632543297e-12
117,1.0968103784884657e-12
118,1.0245359009380545e-11
119,1.1378769380565505e-11
120,1.3198909174493828e-11
121,2.1784782604582157e-11
122,2.4374615081787765e-11
123,2.301621278045106e-11
124,1.7703789672465614e-11
125,2.645901311149412e-11
126,3.393313623610346e-11
127,2.2564867107332703e-11
128,1.9545257137756535e-11
129,1.7975165782967026e-11
130,1.276125860247411e-11
131,1.3171291144568185e-11
132,1.3694580997572905e-11
133,1.1849708781863706e-11
134,8.041574251428419e-13
135,8.477032468481648e-12
136,6.779657370536541e-12
137,7.775412609152617e-12
138,1.1863010554077593e-11
139,1.25753310137496e-11
140,1.5441782458008724e-11
141,2.458338320765307e-11
142,2.3051139109780108e-11
143,1.8584912509541804e-11
144,1.9277332306708795e-11
145,2.0762981985651897e-11
146,2.5294000434699806e-11
147,2.5517924828700915e-11
148,2.637236277869629e-11
149,2.2171128637323137e-11
150,1.1893683736525479e-11
151,1.1109716596169842e-11
152,1.1067684456698954e-11
153,6.549675147474664e-12
154,1.2718879501051797e-12
155,6.1051932086727524e-12
156,9.383834994567745e-12
157,1.0585218091588932e-11
158,7.87911275441212e-12
159,3.2857907683297706e-12
160,1.0335485866753177e-12
161,1.3380828249421938e-12
162,3.5133804717991955e-12
163,5.303617054955538e-12
164,9.063098211630577e-12
165,1.1817219967300195e-11
166,1.1356101521686984e-11
167,1.0892680984724912e-11
168,1.04269246307508e-11
169,9.958798388815602e-12
170,9.48826784011539e-12
171,9.01529821605885e-12
172,8.539854396308212e-12
173,8.061900906415372e-12
174,7.581401915557793e-12
175,7.098321234376056e-12
176,6.612622313170184e-12
177,6.124268239328873e-12
178,5.633221735042026e-12
179,5.1394451552659924e-12
180,4.642900485357934e-12
181,4.361178369890115e-12
182,3.411918225799912e-12
183,1.6509726751705177e-12
184,1.554916090570569e-14
185,8.746603571291236e-13
186,9.893517672428547e-13
187,9.22383986394496e-13
188,1.2590056035150767e-12
189,2.070149109347772e-12
190,2.80606002874498e-12
191,2.832898551340368e-12
192,1.2056770657085335e-12
193,3.717858980162864e-13
194,4.831611604040116e-13
195,4.4831077506249796e-13
196,1.3317948081682008e-12
197,1.7279836059037845e-12
198,2.6183047558991405e-12
199,2.322302404177762e-12
200,1.0038380372377603e-12
201,1.3925213719605121e-12
202,2.434406678735693e-12
203,2.5108653650798353e-12
204,1.817931400652091e-12
205,1.850754339372102e-12
206,2.0767085142436017e-12
207,1.2351511272245523e-12
208,1.5471215688830192e-12
209,2.7600606541133945e-12
210,3.178167512962787e-12
211,3.0422273268732367e-12
212,3.5711465693800515e-12
213,4.637832625180766e-12
214,3.965740675290487e-12
215,2.6471956105172995e-12
216,2.369162002143879e-12
217,2.7386366733124003e-12
218,3.234021247218293e-12
219,2.820536333023272e-12
220,3.1810074893021496e-12
221,3.783223001488167e-12
222,3.676113684013542e-12
223,4.7573122759989354e-12
224,6.031781274786134e-12
225,5.979225481601484e-12
226,5.104034340571716e-12
227,3.925031912181421e-12
228,3.979371353724403e-12
229,3.4753904709134172e-12
230,2.0373993361004187e-12
231,1.485025844880239e-12
232,1.1652692383376019e-12
233,3.320133559411224e-13
234,5.508941035150101e-13
235,1.0005586832795383e-13
236,1.3625828676489635e-12
237,2.4557895750843213e-12
238,3.4684549584487875e-12
239,4.553432304761478e-12
240,4.937530510596821e-12
241,5.4986330196106555e-12
242,6.777387329600738e-12
243,9.176753466670273e-12
244,1.0372027732159428e-11
245,9.449758892131952e-12
246,8.675835405132458e-12
247,7.993658665502134e-12
248,7.809527023842177e-12
249,8.61810182604828e-12
250,9.558849038804715e-12
251,1.0180051062040014e-11
252,8.99249421838229e-12
253,7.799482844431322e-12
254,8.426728637587574e-12
255,8.9572502697896e-12
256,9.287692959435328e-12
257,9.793449499201787e-12
258,8.995159791503768e-12
259,7.388268953763721e-12
260,6.718055492556766e-12
261,6.798211894915279e-12
262,7.059423194415784e-12
263,6.6494876046099284e-12
264,6.318295497492052e-12
265,6.874528632755352e-12
266,6.85511423891088e-12
267,6.64807997714893e-12
268,6.823975725706757e-12
269,6.8727032504699414e-12
270,7.354217132093329e-12
271,7.738370000950114e-12
272,8.455073494172673e-12
273,9.057661130305897e-12
274,8.047770654091085e-12
275,7.879808279188936e-12
276,9.248640438636389e-12
277,1.0072941791613871e-11
278,1.004527370903951e-11
279,9.671237344650322e-12
280,1.0006958879435849e-11
281,1.0572418564802265e-11
282,1.1383051212496083e-11
283,1.241080329052252e-11
284,1.2566462726618121e-11
285,1.2095513319714073e-11
286,1.1455989285288037e-11
287,1.0931746978246276e-11
288,1.0047457687591615e-11
289,8.723282123477352e-12
290,7.66426918804742e-12
291,6.321205939729419e-12
292,5.1429789671071e-12
293,3.8910843818149946e-12
294,2.8041624579199925e-12
295,2.813036646947918e-12
296,3.249179882104358e-12
297,4.184072223539774e-12
298,4.775304941903622e-12
299,4.365971179170462e-12
300,3.2729051157456726e-12
301,2.4632555099377535e-12
302,2.444853452778993e-12
303,2.5120132528747145e-12
304,1.9719576024195678e-12
305,1.2344626336514807e-12
306,7.985994924216127e-13
307,7.671409106523043e-13
308,8.135539507671322e-13
309,1.4452645992606997e-12
310,2.432617234899975e-12
311,2.633540133989478e-12
312,2.0879621990234188e-12
313,2.246393679854935e-12
314,3.473931426253165e-12
315,4.142973860023123e-12
316,3.969480935002672e-12
317,3.964369286780145e-12
318,3.813668854084541e-12
319,3.235573770335963e-12
320,2.330117179469309e-12
321,2.0709108404416564e-12
322,1.6784188826491655e-12
323,6.394916342883564e-14
324,1.34466380675295e-12
325,1.0074296579760754e-12
326,5.729293940044355e-13
327,1.1647744462674063e-13
328,7.800725775980033e-13
329,1.640838479751662e-12
330,1.9080759459357827e-12
331,1.4552753421924768e-12
332,1.217531941870109e-12
333,1.1290620680028946e-12
334,8.838520695933691e-14
335,1.1899859970147597e-12
336,1.3155747257726567e-12
337,1.976383851623556e-12
338,2.1733612082067616e-12
339,1.069697530346128e-12
340,3.0032699589545516e-13
341,1.1868217139685038e-12
342,1.7325729240023247e-12
343,2.5210799273131172e-12
344,3.3477454637690247e-12
345,2.991688754401953e-12
346,2.6660709996386925e-12
347,2.7237686457156122e-12
348,2.0672102153969567e-12
349,1.7330090860870406e-12
350,1.7577114687079152e-12
351,2.3307793383908488e-12
352,2.5090379342456037e-12
353,2.2313003085327357e-12
354,3.212439710911744e-12
355,3.5610204828328515e-12
356,3.4711354544082877e-12
357,3.6154870204626085e-12
358,3.0707515475105334e-12
359,2.7667347765470477e-12
360,2.6135236419960207e-12
361,3.0510247670257394e-12
362,3.217577601697853e-12
363,2.808368294884928e-12
364,2.894018527522967e-12
365,2.464798337601619e-12
366,2.193046372030098e-12
367,2.858220098891365e-12
368,3.4053210662750787e-12
369,3.0491046940807944e-12
370,2.675546065382047e-12
371,3.411753656740372e-12
372,3.336278229189099e-12
373,3.323867702774339e-12
374,4.22638046563532e-12
375,3.57499655265791e-12
376,2.376213415686434e-12
377,1.8195489549136076e-12
378,1.6801740855248898e-12
379,1.0121399385949187e-12
380,2.0607573649207904e-13
381,7.048400087357612e-13
382,9.335704831681346e-13
383,7.292547078225887e-13
384,1.0268583225895603e-12
385,3.252986776072916e-12
386,4.915181796387726e-12
387,4.740513846219939e-12
388,4.260953628162063e-12
389,4.334895993821951e-12
390,3.862718190603046e-12
