,J
0,1.440578201559316e-09
1,1.4379666359184984e-09
2,1.4327461704159618e-09
3,1.4275311090616278e-09
4,1.4223215978536605e-09
5,2.0061870959252276e-09
6,3.096661896033569e-09
7,4.103401238882238e-09
8,5.0859630059518e-09
9,6.0223347696827206e-09
10,6.880485781219815e-09
11,7.533551168185423e-09
12,7.952212693912646e-09
13,8.062331958064775e-09
14,7.841841984788915e-09
15,7.479953167706897e-09
16,7.0502090853787885e-09
17,6.579874612549034e-09
18,6.0868688581622615e-09
19,5.596154689688399e-09
20,5.137796776914258e-09
21,4.718906219923138e-09
22,4.3412216225806495e-09
23,3.984438146496457e-09
24,3.700221467071882e-09
25,3.4994332005198036e-09
26,3.34085428161637e-09
27,3.1915812854836592e-09
28,3.0392915887959675e-09
29,2.898859242785207e-09
30,2.7686690390692e-09
31,2.6435253590653135e-09
32,2.519121270600525e-09
33,2.4265763881010414e-09
34,2.3603184406140795e-09
35,2.2933763836398464e-09
36,2.506197313135516e-09
37,2.682763092597669e-09
38,2.557550196100908e-09
39,2.446070340228092e-09
40,2.3499931833947883e-09
41,2.264154306121583e-09
42,2.1765407802281217e-09
43,2.097989564934744e-09
44,2.021155414984492e-09
45,1.9458464302095177e-09
46,1.8718785324234984e-09
47,1.5387059377849957e-09
48,1.2418038673552946e-09
49,1.2411280382993905e-09
50,1.2407055982915505e-09
51,1.2405414411977407e-09
52,1.2406405521341615e-09
53,1.2410080093420422e-09
54,1.2416489861054424e-09
55,1.2425687527145557e-09
56,1.2437726784738494e-09
57,1.2452662337576153e-09
58,1.2470549921129883e-09
59,1.2491446324120554e-09
60,1.251540941055403e-09
61,1.2542498142276935e-09
62,1.2593958325568019e-09
63,1.2652743460802515e-09
64,1.2697524683110425e-09
65,1.2732354902180605e-09
66,1.2745946317690579e-09
67,1.2719457138126393e-09
68,1.2672169130436811e-09
69,1.2616257706289295e-09
70,1.2523490647039487e-09
71,1.2409191779361171e-09
72,1.2270674723706484e-09
73,1.209834719659642e-09
74,1.1932164468065196e-09
75,1.1778907085348053e-09
76,1.1611239021747406e-09
77,1.1416097881901686e-09
78,1.1235061136393488e-09
79,1.1101722798515874e-09
80,1.0966270281313479e-09
81,1.0851785390018414e-09
82,1.0737235493701493e-09
83,1.062356608664515e-09
84,1.0502506745780837e-09
85,1.0339183033428676e-09
86,1.0178852772158175e-09
87,1.005071598510156e-09
88,9.990616361128636e-10
89,9.945181424645306e-10
90,9.832531475678053e-10
91,9.703940737972019e-10
92,9.659549801699517e-10
93,9.62934780444966e-10
94,9.555481668787227e-10
95,9.497522300897974e-10
96,9.439581717452864e-10
97,9.365397481423257e-10
98,9.297044747054959e-10
99,9.217828816737554e-10
100,9.134041366838205e-10
101,9.077273178826624e-10
102,9.048396088182577e-10
103,8.961470350620838e-10
104,8.842756670417027e-10
105,8.774120640416194e-10
106,8.749487632391158e-10
107,8.733622714759116e-10
108,8.707301396601631e-10
109,8.63742208540882e-10
110,8.553619775618532e-10
111,8.503048823858976e-10
112,8.427105039238266e-10
113,8.344959918532155e-10
114,8.234662794497975e-10
115,8.151043616318402e-10
116,8.092798837274488e-10
117,7.960816817530536e-10
118,7.858281632011796e-10
119,7.778531312669479e-10
120,7.725971327739668e-10
121,7.68111418168594e-10
122,7.6258178494626e-10
123,7.619537499598712e-10
124,7.570190769052945e-10
