,dC
0,0.12438142124253151
1,0.16279112828752346
2,0.2109041190801157
3,0.26853489505077
4,0.33464127080578776
5,0.40731840267382663
6,0.48181174714087716
7,0.5553323385400639
8,0.6246983456225178
9,0.687081542073927
10,0.7402529643194703
11,0.7829060645336857
12,0.8149547722271918
13,0.8368842433504592
14,0.8503216297999797
15,0.856879677947442
16,0.8580959654087313
17,0.8554885129046229
18,0.8503391824840274
19,0.8437365194349189
20,0.8364154100222132
21,0.8288970896089851
22,0.8214871592008048
23,0.8143785059591446
24,0.8077126530226197
25,0.8013330394864798
26,0.7952367116510755
27,0.7893516270470624
28,0.7837565280126263
29,0.7784035975026407
30,0.773307429719563
31,0.7684208343747416
32,0.7637746920224144
33,0.7593362424093117
34,0.7550236639703127
35,0.7508240979710701
36,0.746752914258836
37,0.7417858299418598
38,0.7370778825347855
39,0.7325623613546786
40,0.7282564511937467
41,0.7240874196017504
42,0.7200910760618793
43,0.7162380111399784
44,0.7125249522403445
45,0.7089489795888139
46,0.705507512651844
47,0.7021982955089293
48,0.6999583717765627
49,0.6977198929563637
50,0.6954824065127255
51,0.6932454511669327
52,0.6910085567342934
53,0.6887712439579254
54,0.6865330243391268
55,0.6842933999642455
56,0.6820518633279706
57,0.6798078971529589
58,0.6775609742057125
59,0.6753105571086225
60,0.6730560981480851
61,0.6707970390785973
62,0.66853281092274
63,0.666255193414012
64,0.6639697651711998
65,0.6616759979027904
66,0.6593780085989209
67,0.6570793397650139
68,0.6547909034358527
69,0.6525092884008514
70,0.650241015792484
71,0.6479928559790245
72,0.6457658037561158
73,0.6435675982995339
74,0.6414026937359758
75,0.6392644198978412
76,0.6371547855965205
77,0.6350769790434179
78,0.6330377198312532
79,0.631025201802732
80,0.6290340293108946
81,0.6270703604537069
82,0.6251204754343025
83,0.6231981174927552
84,0.6212892258521032
85,0.6194105263718792
86,0.6175605352830391
87,0.6157396568058093
88,0.6139358765663083
89,0.6121366722291328
90,0.6103492775027448
91,0.6085906988901513
92,0.6068496787244422
93,0.6051071091199971
94,0.6033769809079317
95,0.601661050155176
96,0.5999518242279176
97,0.5982567889856061
98,0.5965743166287567
99,0.5949039319023695
100,0.5932500277303892
101,0.5916098598473671
102,0.5899764283768156
103,0.5883466746372708
104,0.5867445917923125
105,0.5851576505823808
106,0.5835803204201959
107,0.5820022627810855
108,0.5804306540930793
109,0.5788620888916653
110,0.5773156812594654
111,0.5757773382604412
112,0.5742491683778087
113,0.5727382135072836
114,0.5712396681835625
115,0.5697684905222087
116,0.5683001013568674
