,J
0,-3.656196804189674e-11
1,-3.657076663404224e-11
2,-3.658836540230022e-11
3,-3.66059673337832e-11
4,-3.662357241914936e-11
5,-3.664118064910046e-11
6,-3.665879201444196e-11
7,-3.6676406505861214e-11
8,-3.669402411414152e-11
9,-3.6711644830007005e-11
10,-3.672926864400335e-11
11,-3.67468955471956e-11
12,-3.6764525530398224e-11
13,-3.678215858422764e-11
14,-3.679979469965677e-11
15,-3.6817433867428933e-11
16,-3.683507607842255e-11
17,-3.685272132349763e-11
18,-3.6870369593508995e-11
19,-3.688802087940401e-11
20,-3.6905675172021905e-11
21,-3.692333246226662e-11
22,-3.694099274114505e-11
23,-3.695865599956668e-11
24,-3.697632222837215e-11
25,-3.699399141865894e-11
26,-3.701166356139568e-11
27,-3.702933864754352e-11
28,-3.704701666802491e-11
29,-3.706469761403102e-11
30,-3.70823814765109e-11
31,-3.71000682464051e-11
32,-3.71177579149844e-11
33,-3.7135450473062884e-11
34,-3.71531459118752e-11
35,-3.3842095186943876e-11
36,-2.995851959711969e-11
37,-2.882778719623854e-11
38,-2.769212123643352e-11
39,-2.6543286864875627e-11
40,-2.536971376902045e-11
41,-2.4175789830156718e-11
42,-2.2959220502635352e-11
43,-2.1717932422476315e-11
44,-2.0462426439380106e-11
45,-1.920295393496368e-11
46,-1.7935556307628042e-11
47,-1.6644672748969764e-11
48,-1.5343666991537195e-11
49,-1.4047947189513474e-11
50,-1.2750306992570038e-11
51,-1.1449803668783336e-11
52,-1.0143442080536781e-11
53,-8.831497546636369e-12
54,-7.52063914238929e-12
55,-6.209051634367951e-12
56,-4.898122450292303e-12
57,-3.585336177071687e-12
58,-2.270295653408639e-12
59,-9.63208716935394e-13
60,3.460580579422902e-13
61,1.6675730672808387e-12
62,2.996414026888924e-12
63,4.3348601748450204e-12
64,5.6800520611694265e-12
65,7.033851684657126e-12
66,8.402574713718753e-12
67,9.780250953342442e-12
68,1.1161256386416376e-11
69,1.2546941678150898e-11
70,1.3932931255331225e-11
71,1.5770172248251697e-11
72,1.7837544764473124e-11
73,1.9536188535091475e-11
74,2.101753752074162e-11
75,2.2346966448754697e-11
76,2.3571297276087742e-11
77,2.4734895647619483e-11
78,2.5824162781801994e-11
79,2.68389847043095e-11
80,2.779834920741226e-11
81,2.8709098926051734e-11
82,2.956034375163875e-11
83,3.035450750654914e-11
84,3.1104069843193295e-11
85,3.180988911016676e-11
86,3.244218031512122e-11
87,3.3013222656446214e-11
88,3.3559529202111564e-11
89,3.4086622881954616e-11
90,3.459424331724118e-11
91,3.510957028869904e-11
92,3.562446253277021e-11
93,3.6097661707004275e-11
94,3.653238026075197e-11
95,3.691412449742446e-11
96,3.7244006272002245e-11
97,3.754322836293239e-11
98,3.780402795044211e-11
99,3.802419854377353e-11
100,3.8219967393138626e-11
101,3.8409433929902714e-11
102,3.858852932649722e-11
103,3.875254862673571e-11
104,3.8894159989019815e-11
105,3.903785804926621e-11
106,3.919171616786481e-11
107,3.932226816423557e-11
108,3.9439746857126984e-11
109,3.955477436134943e-11
110,3.96497450594634e-11
111,3.971316489755504e-11
112,3.974994454182599e-11
113,3.9754019631556745e-11
114,3.972249311804817e-11
115,3.9662772650030727e-11
116,3.9590943520160525e-11
117,3.950155363279105e-11
118,3.937719929928559e-11
119,3.9242098714781425e-11
120,3.911795640704641e-11
121,3.899958030776666e-11
