,dJ
0,4.681847900555511e-12
1,4.6809953535358785e-12
2,4.679158009588964e-12
3,4.6770486476482845e-12
4,4.674651706599365e-12
5,4.671950532659417e-12
6,4.668927288879597e-12
7,4.6655628560668635e-12
8,4.661836724386012e-12
9,4.657726874360312e-12
10,4.653209646508717e-12
11,4.648259598177975e-12
12,4.642849346188773e-12
13,4.636949394031013e-12
14,4.630527941586517e-12
15,4.6235506757736025e-12
16,4.615980539900145e-12
17,4.607777479473026e-12
18,4.598898161938253e-12
19,4.58929566742989e-12
20,4.578919147499792e-12
21,4.5677134484072444e-12
22,4.55561869509298e-12
23,4.5425698317786975e-12
24,4.52849611480264e-12
25,4.513320552553718e-12
26,4.496959287490085e-12
27,4.479320914765425e-12
28,4.460305731326088e-12
29,4.439804909703604e-12
30,4.4176995903553384e-12
31,4.393859886550204e-12
32,4.368143796457807e-12
33,4.340396017576293e-12
34,4.310446660536898e-12
35,4.3225533179607745e-12
36,4.314818083166185e-12
37,4.241495225493968e-12
38,4.165301698320874e-12
39,4.0848337814800455e-12
40,3.9986258704953084e-12
41,3.90793021300959e-12
42,3.809888769880194e-12
43,3.704268666697695e-12
44,3.5933692664849006e-12
45,3.4787637555463035e-12
46,3.3600760757519376e-12
47,3.2341714102545844e-12
48,3.1010670324214844e-12
49,2.962937299457907e-12
50,2.820560070459427e-12
51,2.671939587316212e-12
52,2.515419083693934e-12
53,2.3513402354172397e-12
54,2.1807745572413245e-12
55,2.0045862967292527e-12
56,1.8217528677971698e-12
57,1.6321060838872614e-12
58,1.4365371955515243e-12
59,1.2366972899165938e-12
60,1.032541543701493e-12
61,8.238475032195466e-13
62,6.131239812324133e-13
63,4.012243391005172e-13
64,1.8814325222786225e-13
65,2.592898129197062e-14
66,2.390852775066174e-13
67,4.4980688728527666e-13
68,6.568915082844559e-13
69,8.583196387510837e-13
70,1.0534085115195987e-12
71,1.2047739024493555e-12
72,1.3269914285182748e-12
73,1.4682353439368048e-12
74,1.6161073101124366e-12
75,1.7618153136942012e-12
76,1.9001768467305475e-12
77,2.029179668706665e-12
78,2.152013063324058e-12
79,2.2682921591526374e-12
80,2.3783631499390853e-12
81,2.4803344452819895e-12
82,2.5741262026062695e-12
83,2.6605863946699418e-12
84,2.7386555105255576e-12
85,2.8110493042641025e-12
86,2.887165447120797e-12
87,2.9635825532778943e-12
88,3.0326559598158403e-12
89,3.094807048579925e-12
90,3.1501737005318483e-12
91,3.1979449295219262e-12
92,3.2392121309046962e-12
93,3.277515364776938e-12
94,3.3137915677415498e-12
95,3.3490059534884046e-12
96,3.3813765400064694e-12
97,3.4109384731321074e-12
98,3.439701856224428e-12
99,3.4679048095218515e-12
100,3.4939206086609692e-12
101,3.515622286143336e-12
102,3.5342699773556747e-12
103,3.5518294751036435e-12
104,3.5680470688668224e-12
105,3.5756031529274944e-12
106,3.574208401966247e-12
107,3.572166135980121e-12
108,3.56900628264478e-12
109,3.564492580628135e-12
110,3.5578040750445175e-12
111,3.5483798861116717e-12
112,3.5383794637808304e-12
113,3.529203987239368e-12
114,3.521548593475613e-12
115,3.5136875109046658e-12
116,3.5054117318327408e-12
117,3.497713836389988e-12
118,3.488910474705056e-12
119,3.478050161794695e-12
120,3.467124775427078e-12
121,3.455294384758381e-12
122,3.441468027035097e-12
123,3.425006743797615e-12
124,3.4032560738978876e-12
125,3.3773823705732178e-12
126,3.351058388001684e-12
127,3.3243891334470852e-12
128,3.2982136703711502e-12
129,3.271956632947422e-12
130,3.24550876604423e-12
131,3.2174012743989914e-12
132,3.188341004703707e-12
133,3.1634736380258487e-12
134,3.1408802942378946e-12
135,3.1177834335760798e-12
136,3.0935432502728218e-12
137,3.068913377223997e-12
138,3.042127269912753e-12
139,3.0126115971018755e-12
140,2.983989094941039e-12
141,2.9569784031620555e-12
142,2.9310074117814395e-12
143,2.9043394004842837e-12
144,2.8764974311258515e-12
145,2.847885324954662e-12
146,2.8186747690192043e-12
147,2.7924171544659145e-12
148,2.7663588902309926e-12
149,2.7385164461972147e-12
150,2.7119127738995068e-12
151,2.686907536801977e-12
152,2.662571422279772e-12
153,2.638372650136439e-12
154,2.616770575778158e-12
